id,How confident are you that you understand what protections a TEE offers? (initial),ResponseId,How confident are you that you understand the scenario? (medical),What is the goal of the medical study? (attempt 1),What is the goal of the medical study? (attempt 2),Q296_Page Submit,How likely would you be willing to participate in the medical study?,How likely would you be willing to participate in the medical study? (free-response),"How safe do you think data would be when it is protected by a TEE? (medical, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, hospital collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)","What questions do you still have about TEEs, if any? (medical)","TEE concept (medical, 1)","TEE concept (medical, 2)","TEE concept (medical, 3)","TEE concept (medical, 4)","TEE concept (medical, 5)","TEE concept (medical, 6)","TEE concept (medical, 7)","TEE concept (medical, 8)","TEE concept (medical, 9)","TEE concept (medical, 10)","TEE concept (medical, 11)","TEE concept (medical, 12)",How confident are you about your answers to the questions on this page? (medical),"How confident are you that you understand what protections a TEE offers? (medical, post-concepts)","How safe do you think data would be when it is protected by a TEE? (medical, post-TEE concepts)",How confident are you that you understand the scenario? (IoT),What kind of device are you shopping for? (attempt 1),What kind of device are you shopping for? (attempt 2),How likely would you be to purchase the voice assistant/light bulb?,How likely would you be to purchase the voice assistant/light bulb? (free-response),"How safe do you think data would be when it is protected by a TEE? (IoT, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, company collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, other)","What questions do you still have about TEEs, if any? (IoT)","TEE concept (IoT, 1)","TEE concept (IoT, 2)","TEE concept (IoT, 3)","TEE concept (IoT, 4)","TEE concept (IoT, 5)","TEE concept (IoT, 6)","TEE concept (IoT, 7)","TEE concept (IoT, 8)","TEE concept (IoT, 9)","TEE concept (IoT, 10)","TEE concept (IoT, 11)","TEE concept (IoT, 12)",How confident are you about your answers to the questions on this page? (IoT),"How confident are you that you understand what protections a TEE offers? (IoT, post-concepts)","How safe do you think data would be when it is protected by a TEE? (IoT, post-TEE concepts)","Before this survey, were you familiar with the concept of TEEs?","Before this survey, were you familiar with the concept of TEEs? (free resposne)",Are you employed in a computing field?,Are you employed in a computing field? (free response),Do you have formal education in a computing field?,Do you have formal education in a computing field? (free response),Do you have prior experience with medical research?,Do you have prior experience with medical research? (free response),Do you work in a medical field?,Do you work in a medical field? (free response),Do you own any smart devices?,Do you own any smart devices? (free response),Do you have experience with home automation?,Do you have experience with home automation? (free response),Age,Gender,Gender (free response),Race,Race (free response),Education,Feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
144,Somewhat confident,R_5AHxmQG7YltLkTj,Somewhat confident,Determine where to build a new hospital,,83.35,Maybe would,,Mostly safe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,The fact that it says researchers are looking for new ways to verify the program is working correctly. That makes me a little hesitant. Sounds like there are still bugs. Any program can have bugs. And I’d rather them figure out more ways before I would store my personal data there. ,Nothing other than what’s been stated.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Mostly safe,Definitely safe,Neither safe nor unsafe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,"The fact that it is still in an unknown quantity to me, makes me feel a little less secure. It sounds more like a black box. I would have more confidence if I trust the company, but that still leaves me feeling a little weary.","I feel like I would want a longer explanation. Granted, I’m the type of person that likes details and technology. So I’d love to know a little bit more. The more educated I would become the more confident I would feel.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Not at all confident,Somewhat safe,No,,Yes,,Yes,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Male,,White or Caucasian,,Associates or technical degree,,Medical-Simple,IoT-Simple,0,Trust,Show,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,Somewhat confident,R_1DHKINnXlwF4EeA,Somewhat confident,Determine where to build a new hospital,,,Would not ,,Not at all safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Definitely unsafe,Somewhat unsafe,I would not want my medical information to be used for this purpose.,"Like I said before, I am a visual learner, and I feel I would need to watch a video or perhaps hear someone explain more about TEEs to fully understand.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Not at all safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat safe,I would not feel comfortable with my name and address being kept by the company.,I am not exactly sure how it works. I feel like I would need to watch a video on it or something to fully understand.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Not at all confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Non-binary / third gender,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,0,Trust,None,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0
146,Not at all confident,R_3DPhWAe7gX6mmyt,Completely confident,Develop an AI tool for diagnosing patients,,119.516,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Neither safe nor unsafe,"As before, people having access to your data can make that data unsafe",n/a,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart voice assistant,,Maybe would,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Since there will be some people that have access it seems that it could be a little more unsafe,N/a,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,Yes,,Yes,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,55-64 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,0,None,Show,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
147,Completely confident,R_5rPaVXutIpD7a57,Completely confident,Develop an AI tool for diagnosing patients,,,Would not ,,Somewhat safe,Somewhat safe,Definitely safe,Somewhat safe,Somewhat unsafe,Somewhat safe,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Not at all confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Maybe would,,Mostly safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"No, but I have in the past",,"Yes, I have used home automation, but not currently",,25-34 years old,Female,,Asian,,Associates or technical degree,,Medical-Complex,IoT-Simple,1,Hardware,Hide,2,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
148,Somewhat confident,R_3DtHMUmqlZkrVR2,Completely confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Mostly safe,Definitely safe,Definitely safe,Somewhat safe,Neither safe nor unsafe,Definitely safe,I think that knowing why it is being taken makes me trust it more,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,Somewhat confident,Smart light bulb,,Maybe would,,Completely safe,Definitely safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat safe,Having my address and when I turn on or off lights sounds a little worrying,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Mostly safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Male,,White or Caucasian,,Associates or technical degree,,Medical-Complex,IoT-Simple,0,Hardware,Hide,2,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
149,Completely confident,R_2axJqJlgVL7WBfy,Completely confident,Determine where to build a new hospital,,,Would not ,,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat safe,I just don't like other people having my data.,How can I ensure that my data is safe in other people hands? Also would there be a way to make sure that my data is only used in studies that I approve of?,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not ,,Not at all safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Definitely unsafe,Definitely unsafe,"I've seen too many companies misuse data, I don't feel like my data would be safe in there hands.",Is there an easy way to request deletion of my data?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,Somewhat,Yes,,Yes,,"Yes, as a participant",,No,,"No, but I have in the past",,"Yes, I currently use home automation",,18-24 years old,Male,,White or Caucasian,,"Some college, but no degree",Thanks for the Survey!,Medical-Simple,IoT-Complex,1,Unsubstantial,Hide,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
150,Completely confident,R_2iWWI8fz6lUQEzD,Completely confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Somewhat safe,Somewhat safe,The fact that the data is used for medical purposes is what keeps me feeling safe about my data. ,None.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart light bulb,,Definitely would,,Completely safe,Definitely safe,Neither safe nor unsafe,Definitely safe,Somewhat safe,Definitely safe,The TEE is what really makes me feel that my data would be safe. TEE strictly focuses on the ensuring that the data is safe. ,None.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Completely confident ,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Male,,Black or African American,,"Some college, but no degree",,Medical-Complex,IoT-Simple,0,Hardware,None,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1
151,Somewhat confident,R_1GlcO9vMrkkW2hM,Somewhat confident,Determine where to build a new hospital,,65.123,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I feel that it would be somewhat safe with a TEE.,None at the moment.,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,The purpose of the development of the software is to protect data.,None at the moment.,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,Prefer to self-describe,Hispanic,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",None at the moment.,Medical-Simple,IoT-Complex,0,Unsubstantial,Show,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1
152,Somewhat confident,R_5CqGua4Y0VkgvHk,Completely confident,Determine where to build a new hospital,,,Maybe would,,Somewhat safe,Somewhat unsafe,Definitely safe,Somewhat safe,Somewhat unsafe,Somewhat safe,I feel like I am not getting enough information from the medical study on whether my data will be properly protected or not. This makes me feel like my data could be unsafe and breached easily. ,Are there any other potential risks?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Not at all confident,Not at all safe,Somewhat confident,Smart voice assistant,,Would not ,,Not at all safe,Definitely unsafe,Somewhat safe,Definitely safe,Definitely unsafe,Definitely unsafe,"I don't like that the AI would collect all the information that I type into the app such as addresses, important bank information, etc. ",None,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,Yes,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Male,,"White or Caucasian,American Indian/Native American or Alaska Native",,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",I would like to know what TEEs were at the end. I recommend in the future you include a definition of a TEE AFTER the study has been completed. ,Medical-Simple,IoT-Complex,1,None,None,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
153,Completely confident,R_5iuc8EwO9OpfQ6B,Completely confident,Determine where to build a new hospital,,,Definitely would,,Mostly safe,Definitely safe,Definitely safe,Definitely safe,Somewhat safe,Definitely safe,n/a,n/a,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Completely confident ,Completely safe,Completely confident,Smart light bulb,,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,n/a,n/a,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Completely confident ,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Female,,American Indian/Native American or Alaska Native,,Bachelor’s degree,,Medical-Simple,IoT-Simple,1,Hardware,None,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1
154,Not at all confident,R_29dlUqXoCgqb8HL,Completely confident,Determine where to build a new hospital,,,Maybe would,,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Definitely safe,Somewhat safe,Definitely safe,Not knowing how the TEE protects my data makes me feel that my data is unsafe.,"Am I to assume a TEE is a type of program that protects data?  If so, how does it do that?  ",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Not at all confident,Somewhat safe,Completely confident,Smart voice assistant,,Definitely would,,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat safe,I feel that my data is at the risk of being unsafe.  There have been too many data breaches to think otherwise.,What is a Tee?,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,45-54 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Complex,0,None,None,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0
155,Somewhat confident,R_3MOd5RdXX9WItb3,Completely confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,No it seems safe,How are they installed on my device,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Completely confident,Smart voice assistant,,Would not ,,Completely safe,Definitely safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,Feels like someone is always listening,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,"Yes, as a researcher",,Yes,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Complex,1,Trust,Hide,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,Completely confident,R_7qCU1vbRWpfx2W9,Completely confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,Definitely safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Definitely would,,Mostly safe,Definitely safe,Definitely safe,Somewhat safe,Somewhat unsafe,Definitely safe,I don't understand why my home address would be needed to operate a light bulb.,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Male,,White or Caucasian,,"Some college, but no degree",,Medical-Simple,IoT-Simple,0,Hardware,None,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
157,Completely confident,R_2Rt4ip3SNq1XNDj,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,Definitely safe,"I am somewhat unsure about the AI tool. Since it will use my information to somewhat answer questions, I am not sure how much of my information will be exposed or relayed in the AI's answers. I know the TEE will protect my data from unauthorized users/researchers but I would need more verification that the data is protected. ",How would the AI tool interact with the TEE? Can the TEE segment data so the AI can only access one part of the data stored in there?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Completely confident ,Somewhat confident,Completely safe,Completely confident,Smart light bulb,,Definitely would,,Mostly safe,Definitely safe,Somewhat safe,Definitely safe,Somewhat safe,Definitely safe,I feel safe in the fact that the data is shared with only approved people and that the data will be used for development purposes rather than sold to an external party. ,none,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Completely confident ,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Complex,IoT-Simple,0,Hardware,None,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1
158,Somewhat confident,R_7GB8DNvnOqlY5Zk,Somewhat confident,Develop an AI tool for diagnosing patients,,62.37,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Not at all confident,Mostly safe,No,,No,,No,,No,,Yes,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,White or Caucasian,,"Some college, but no degree",None,Medical-Complex,IoT-Simple,0,Trust,Show,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0
159,Somewhat confident,R_3oIvuBU2Ilzbn7X,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Definitely safe,Neither safe nor unsafe,Somewhat safe,Definitely safe,Definitely safe,The people with access would need to be higher clearance.,The description sounds safe and secure if it works properly.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Definitely safe,Definitely safe,I have no control over the team that ultimately has access.,Although they have my location I would not want that to be readily available.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,65+ years old,Female,,White or Caucasian,,"Some college, but no degree",no thanks,Medical-Simple,IoT-Simple,1,Hardware,Hide,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
160,Completely confident,R_5O6pPPqarkWhY7A,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Mostly safe,Somewhat unsafe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat safe,"I think if the data could be submitted without any of my personal information attached, I would feel more comfortable with it.",Who is allowed access to TEE? ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart voice assistant,,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I think that overall the collection of data is to improve the quality of the product and not to gather unnecessary information. So overall I feel safe with this. ,N/A,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,"No, but I have been in the past",,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,1,Unsubstantial,None,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0
161,Completely confident,R_5bagT7qXFDdGfRf,Completely confident,Develop an AI tool for diagnosing patients,,106.372,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,n/a,n/a,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Definitely would,,Completely safe,Definitely safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Definitely safe,n/a,n/a,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34 years old,Female,,American Indian/Native American or Alaska Native,,"Some college, but no degree",n/a,Medical-Complex,IoT-Simple,1,Hardware,Show,1,2,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1
162,Somewhat confident,R_3qRX9HfojgX5F6x,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not ,,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,No,None,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Not at all confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not ,,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Neither safe nor unsafe,Definitely unsafe,Somewhat unsafe,No,None,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,Not desired to answer,No,Not desired to answer,No,Not desired to answer,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Male,,Black or African American,,Bachelor’s degree,,Medical-Complex,IoT-Complex,0,Hardware,Hide,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
163,Somewhat confident,R_10vHYxJwxQu7nZg,Somewhat confident,Determine where to build a new hospital,,63.159,Would not ,,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat unsafe,"I feel unsafe here because not only my name and address, they're collecting my medical info.",Just feel not 100% about TEEs.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,Not sure what cryptographic functions are so I can't be 100% certain. It can be like data bleach in the future? So I'd say somewhat unsafe.,I guess people like me not Computer savvy sometimes have hard time to understand technology lingos.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Yes,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,45-54 years old,Female,,Asian,,Bachelor’s degree,"Interesting survey, makes me think about AI more. Enjoyed, thank you!",Medical-Simple,IoT-Complex,0,Trust,Show,0,1,2,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0
