ResponseId,willingness,scenario,safety_post,safety_pre,scenario_complexity,scenario_scenario,EXPLN_S1,EXPLN_S2,EXPLN_S3,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience
R_1pVuesOKSApNqfK,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,No Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1rpOyyqcdDGYHCD,Definitely would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Unsubstantial,Technical,No Prevents,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1rusV32VeaLc8AV,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_1rwPFRLB5J0rmPA,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,No Prevents,18-24,Male,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE
R_1zkbB7h90N8nrgT,Maybe would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Hardware,Untechnical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE
R_325VcST03ZYcbYs,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Technical,Prevents,18-24,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_33rCy3tQBsZClIB,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Technical,Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_34MiGZ6AucyINvg,Would not,MedicalSimple,Not at all safe,Not at all safe,Simple,Medical,Hardware,Untechnical,No Prevents,45+,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE
R_38CLhDwdJI7Ihot,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Untechnical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_39npzNz9VbFP70C,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Untechnical,No Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_39yCzuV37FV6nYt,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Untechnical,No Prevents,18-24,Male,High school or below,FALSE,FALSE,FALSE,FALSE,TRUE
R_3AKEKbjvLt1pYkR,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,No Prevents,45+,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE
R_3C1Zm4cBu5szfpL,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Technical,Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,FALSE,TRUE,FALSE
R_3ERvChpUf0y8gj7,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Technical,No Prevents,45+,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE
R_3FLEYhHGnm4KqLG,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE
R_3I3O423Dojt2D91,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3I5g06gKcSxuiSV,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,Prevents,18-24,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_3I8jjimAbZ6vbAl,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Untechnical,Prevents,18-24,Female NB or SD,Bachelor or Graduate degree,TRUE,TRUE,TRUE,TRUE,FALSE
R_3IAiSepYQCFYNp2,Maybe would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Untechnical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,TRUE,TRUE,TRUE,TRUE,FALSE
R_3IGJ6LuNwcngfm1,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_3KBJdKOQqVqaafw,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Untechnical,Prevents,25-34,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE
R_3KDYxGFxUzPHePF,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Untechnical,No Prevents,35-44,Male,Bachelor or Graduate degree,TRUE,FALSE,FALSE,TRUE,FALSE
R_3KTIKy0avXC3lTz,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,No Prevents,45+,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_3MT0zdYK4ZnSKCY,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Trust,Technical,No Prevents,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_3NfskA8Ovklri4C,Maybe would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Untechnical,No Prevents,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_3O0v8Vkaflqyw1k,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Untechnical,No Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3Q0paE3kpBdqOD2,Maybe would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Hardware,Untechnical,Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3RLLyli9qudD6zn,Maybe would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Hardware,Untechnical,Prevents,18-24,Female NB or SD,High school or below,TRUE,FALSE,FALSE,TRUE,FALSE
R_3SYXByP4q8RrykF,Maybe would,MedicalSimple,Somewhat safe,Not at all safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_3TApwxR0NjrtczL,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Trust,Technical,Prevents,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3W0KALYEQJ45tn3,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,Prevents,18-24,Male,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE
R_3WYCN6g0GQfuf57,Maybe would,MedicalSimple,Not at all safe,Completely safe,Simple,Medical,Trust,Technical,Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3YgJh67AUNgXpkt,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3cuCnWSworjIFvt,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3dMnzKBjAo8loQN,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,No Prevents,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_3e3kdkIpLRMzwEc,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,Prevents,35-44,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,TRUE
R_3egin7VRCA4miOd,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,FALSE,TRUE,FALSE
R_3gHdvho6tQnkFkQ,Definitely would,MedicalSimple,Completely safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,No Prevents,45+,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_3gHqpQiUNLtqts7,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_3ghW0jp3MfRehpQ,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,No Prevents,25-34,Female NB or SD,High school or below,TRUE,FALSE,FALSE,TRUE,FALSE
R_3jcIZgT14ZJptTT,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,No Prevents,45+,Male,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE
R_3kH2hicstCXFcXn,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Untechnical,No Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_3nWriavwHjSrMEF,Definitely would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Trust,Technical,No Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE
R_3qEUGBVTdyUlPci,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,No Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3qX3FcHFJRrpMiQ,Maybe would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_3sC45u66HnN0u4x,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Technical,No Prevents,18-24,Male,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE
R_3snV5y91Azbp79v,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Untechnical,Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3t07r1quZc1v4to,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,No Prevents,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_3vM2rC33rv7v5U5,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_3zI4RirL5NYV33z,Would not,MedicalSimple,Not at all safe,Not at all safe,Simple,Medical,Hardware,Untechnical,No Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_524ilx5UnMSYEcc,Maybe would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Hardware,Technical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_52PiMf40idUY1px,Would not,MedicalSimple,Somewhat safe,Not at all safe,Simple,Medical,Trust,Untechnical,No Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_58LE3mjlqV94VEy,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,No Prevents,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
R_5AoUVJNB7iOZTLb,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,No Prevents,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5Bmpfepy6WmLp0v,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,No Prevents,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5BvKvYD9Oximrbr,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Technical,No Prevents,45+,Female NB or SD,High school or below,TRUE,FALSE,TRUE,TRUE,FALSE
R_5Csa8Q2Oe0pWDHz,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Untechnical,No Prevents,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5EM7LuexuAZr2hd,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,No Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5ESGZRTmO3O1E2J,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5EYeGueyNtB06Do,Maybe would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Technical,Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5EpfnDySqbkv2t3,Definitely would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Trust,Technical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5ExMGUDKhJ0lZC7,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5F2IiZ77XccT3yD,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Technical,Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_5FGNf67jQDOYqxX,Definitely would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Trust,Untechnical,No Prevents,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_5FldNW0TInNtmJF,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Untechnical,No Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5HDBPYubHr5bwOd,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Technical,Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5IgxKAkLh1mrvWR,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Technical,Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5LPIoPC2uP6p7Ut,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,No Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5NF1HehRlSttP3A,Maybe would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Untechnical,Prevents,25-34,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5P61sy3XzcmcobP,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Technical,No Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5PROYUbrP3wvE41,Would not,MedicalSimple,Somewhat safe,Not at all safe,Simple,Medical,Unsubstantial,Technical,No Prevents,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5PjzKhZcom7qpLl,Would not,MedicalSimple,Not at all safe,Not at all safe,Simple,Medical,Unsubstantial,Technical,No Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5PsTXeUB73DpaiY,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,Prevents,18-24,Female NB or SD,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE
R_5QnLVGIPijUFL6U,Would not,MedicalSimple,Not at all safe,Not at all safe,Simple,Medical,Trust,Untechnical,Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE
R_5SuX0iaMo3MeBFi,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Technical,No Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_5Sw7vrxWlSGxi8N,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,Prevents,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_5T176KdAegLqmHv,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,TRUE
R_5TUmwpWw77lXItO,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,Prevents,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5UhXbvilpndYwT1,Maybe would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Trust,Untechnical,Prevents,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5VlpUMyQEgZbaRZ,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5WUPnMyzHwcHSAV,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,45+,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5curxvnD3PXWCrr,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,25-34,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,TRUE
R_5cwTJOCzo1teN12,Maybe would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Untechnical,Prevents,25-34,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_5d3TmRUPjzqqElr,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Untechnical,Prevents,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE
R_5dBsVmnnuuvAroB,Definitely would,MedicalSimple,Completely safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,Prevents,18-24,Male,Bachelor or Graduate degree,TRUE,TRUE,TRUE,TRUE,TRUE
R_5esFSpWTmbzCYBt,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,Prevents,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE
