id,How confident are you that you understand what protections a TEE offers? (initial),ResponseId,How confident are you that you understand the scenario? (medical),What is the goal of the medical study? (attempt 1),What is the goal of the medical study? (attempt 2),How likely would you be willing to participate in the medical study?,How likely would you be willing to participate in the medical study? (free-response),"How safe do you think data would be when it is protected by a TEE? (medical, initial)","What questions do you still have about TEEs, if any? (medical)",How much would knowing the answers to these questions change your willingness to participate in the medical study?,"TEE concept (medical, 1)","TEE concept (medical, 2)","TEE concept (medical, 3)","TEE concept (medical, 4)","TEE concept (medical, 5)","TEE concept (medical, 6)","TEE concept (medical, 7)","TEE concept (medical, 8)","TEE concept (medical, 9)","TEE concept (medical, 10)",How confident are you about your answers to the questions on this page? (medical),"How confident are you that you understand what protections a TEE offers? (medical, post-concepts)","How safe do you think data would be when it is protected by a TEE? (medical, post-TEE concepts)",How confident are you that you understand the scenario? (IoT),What kind of device are you shopping for? (attempt 1),What kind of device are you shopping for? (attempt 2),How likely would you be to purchase the voice assistant/light bulb?,How likely would you be to purchase the voice assistant/light bulb? (free-response),"How safe do you think data would be when it is protected by a TEE? (IoT, initial)","What questions do you still have about TEEs, if any? (IoT)",How much would knowing the answers to these questions change your willingness to purchase the voice assistant/light bulb?,"TEE concept (IoT, 1)","TEE concept (IoT, 2)","TEE concept (IoT, 3)","TEE concept (IoT, 4)","TEE concept (IoT, 5)","TEE concept (IoT, 6)","TEE concept (IoT, 7)","TEE concept (IoT, 8)","TEE concept (IoT, 9)","TEE concept (IoT, 10)",How confident are you about your answers to the questions on this page? (IoT),"How confident are you that you understand what protections a TEE offers? (IoT, post-concepts)","How safe do you think data would be when it is protected by a TEE? (IoT, post-TEE concepts)","Before this survey, were you familiar with the concept of TEEs?","Before this survey, were you familiar with the concept of TEEs? (free resposne)",Are you employed in a computing field?,Are you employed in a computing field? (free response),Do you have formal education in a computing field?,Do you have formal education in a computing field? (free response),Do you have prior experience with medical research?,Do you have prior experience with medical research? (free response),Do you work in a medical field?,Do you work in a medical field? (free response),Do you own any smart devices?,Do you own any smart devices? (free response),Do you have experience with home automation?,Do you have experience with home automation? (free response),Age,Gender,Gender (free response),Race,Race (free response),Education,Feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN_S1,EXPLN_S2,EXPLN_S3,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
12,Completely confident,R_5SuX0iaMo3MeBFi,Completely confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,"How many people have access to the TEE, what are their qualifications and how do we know for sure they won't break protocol and share the data, especially if it turns out they know me personally and mention it to their friends in casual conversation.",Probably would not change,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Would not,,Somewhat safe,"I would add what country is accessing this data, as this is a product and not a health research study.  If it's Chinese lightbulbs than I wouldn't trust the TEE regardless.  With a local hospital there's more reputation backing their claims.",Probably would not change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,35-44 years old,Male,,White or Caucasian,,Bachelor’s degree,"It's always going to be a risk/benefit analysis as no data shared is every 100% safe from hackers, disgruntled employees, and researchers sharing info with friends/spouses.  Or less than reputable companies claiming TEE protections but might not be carrying them out.  ",Medical-Simple,IoT-Simple,1,Hardware,Technical,No Prevents,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1
13,Completely confident,R_57Ve7Sz6TxR9K7B,Completely confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,same,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Completely confident,Somewhat safe,Completely confident,Smart light bulb,,Maybe would,,Somewhat safe,I do not have further questions about TEEs,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Completely confident,Completely confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,18-24 years old,Male,,White or Caucasian,,High school diploma or GED,,Medical-Complex,IoT-Simple,0,Trust,Untechnical,No Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
14,Completely confident,R_5flpGfIZI56XUG5,Completely confident,Determine where to build a new hospital,,Definitely would,,Completely safe,Same,Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Completely confident,Completely confident,Completely safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,How exactly does it separate from the rest of the computer,Probably would change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,White or Caucasian,,"Some college, but no degree",,Medical-Simple,IoT-Complex,0,Trust,Untechnical,Prevents,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
15,Completely confident,R_3snV5y91Azbp79v,Somewhat confident,Determine where to build a new hospital,,Definitely would,,Completely safe,Same,Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Completely confident,Completely confident,Completely safe,Completely confident,Smart voice assistant,,Definitely would,,Completely safe,None,Probably would change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Completely confident,Completely confident,Completely safe,Yes,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Complex,0,Unsubstantial,Untechnical,Prevents,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
16,Somewhat confident,R_1kFKP2LZzazsQKZ,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Completely safe,none,I have no questions,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,same,I have no questions,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Non-binary / third gender,,White or Caucasian,,High school diploma or GED,,Medical-Complex,IoT-Complex,1,Hardware,Technical,No Prevents,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0
17,Somewhat confident,R_70UPQh8SKevGQN8,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Completely safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,18-24 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Simple,0,Unsubstantial,Untechnical,No Prevents,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
18,Somewhat confident,R_3EZzxtDvBmy7Rbr,Somewhat confident,Develop an AI tool for diagnosing patients,,Would not,,Somewhat safe,How doo they keep the data safe? Is there a risk of that data being stolen or leaked even if the TEE is protecting it?,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Completely confident,Completely confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,same,Definitely would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Completely confident,Somewhat safe,No,,No,,No,,No,,No,,"No, but I have in the past",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Non-binary / third gender,,White or Caucasian,,"Some college, but no degree",,Medical-Complex,IoT-Complex,1,Trust,Technical,No Prevents,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
19,Somewhat confident,R_3I3O423Dojt2D91,Somewhat confident,Determine where to build a new hospital,,Would not,,Somewhat safe,same,Definitely would not change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Maybe would,,Somewhat safe,none,Probably would not change,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,55-64 years old,Male,,Asian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,0,Unsubstantial,Untechnical,No Prevents,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1
20,Completely confident,R_7eQpZdKLNcFWe5j,Completely confident,Develop an AI tool for diagnosing patients,,Would not,,Not at all safe,None,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Completely confident,Not at all safe,Completely confident,Smart voice assistant,,Would not,,Not at all safe,Same,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Completely confident,Not at all safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,55-64 years old,Male,,White or Caucasian,,"Some college, but no degree","TEEs may help protect data, but the company has intellectual property rights and will abuse them. This is what they will tell you to gather the information from you. After you agree, they can do whatever they want with it.",Medical-Complex,IoT-Complex,1,Hardware,Technical,Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,Somewhat confident,R_147c3Fl0F0zDu0k,Somewhat confident,Determine where to build a new hospital,,Definitely would,,Completely safe,none,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart light bulb,,Would not,,Completely safe,none,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,45-54 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,1,Hardware,Technical,Prevents,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
22,Completely confident,R_1lVzyDfauC9o0q0,Completely confident,Develop an AI tool for diagnosing patients,,Would not,,Somewhat safe,Same,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Completely confident,Completely confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Not at all safe,What is the disadvantage of Trusted Execution Environment?,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Completely confident,Completely confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Male,,White or Caucasian,,"Some college, but no degree",,Medical-Complex,IoT-Complex,0,Unsubstantial,Untechnical,Prevents,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1
23,Somewhat confident,R_6P6knBPbyVrbUml,Completely confident,Determine where to build a new hospital,,Definitely would,,Somewhat safe,I hope they are reliable,Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Completely confident,Completely confident,Somewhat safe,Completely confident,Smart light bulb,,Definitely would,,Somewhat safe,same,Probably would change,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,55-64 years old,Female,,Black or African American,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,1,Trust,Technical,Prevents,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
24,Completely confident,R_17Qo5EW5C0MsXl5,Completely confident,Develop an AI tool for diagnosing patients,,Definitely would,,Completely safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Completely confident,Completely confident,Completely safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Completely confident,Completely confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Female,,White or Caucasian,,"Some college, but no degree",,Medical-Complex,IoT-Complex,0,Hardware,Untechnical,Prevents,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0
25,Somewhat confident,R_7LXyOyzRX6LCSF8,Completely confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,"How does somebody become authorized to view my data within the TEE?
What is the total number of people who would have access to my data within the TEE?",Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Not at all safe,"Why should I trust Google or Amazon to safely store my data?
How much is Amazon or Google going to pay me for using my data to train future AI models?",Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Not at all safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,45-54 years old,Male,,White or Caucasian,,"Some college, but no degree","I liked the idea of participating in something that could further public health, and having some measures in place to maintain my data privacy. I am a lot less willing to share my data with tech companies whose motive is money and profits.",Medical-Complex,IoT-Complex,1,Unsubstantial,Untechnical,No Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,Somewhat confident,R_5Csa8Q2Oe0pWDHz,Somewhat confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,same,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,privacy issues,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Male,,Prefer not to say,,"Some college, but no degree",,Medical-Simple,IoT-Simple,0,Trust,Untechnical,No Prevents,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0
